"year","scenario","growthrate","population"
2020,"FA",9.21855942397642,5319324
2021,"FA",8.77982726498072,5366026.74588647
2022,"FA",8.36197536487194,5410897.32934281
2023,"FA",7.96400998475443,5453989.76970018
2024,"FA",7.58498468002114,5495358.19854835
2025,"FA",7.22399804951141,5535056.65545603
2026,"FA",6.88019159179096,5573138.90571698
2027,"FA",6.5527476634566,5609658.27865954
2028,"FA",6.24088753460994,5644667.52508425
2029,"FA",5.94386953687514,5678218.69243238
2030,"FA",5.66098729955729,5710363.01633435
2031,"FA",5.39156806974549,5741150.82723987
2032,"FA",5.13497111236633,5770631.47088949
2033,"FA",4.89058618638217,5798853.24144772
2034,"FA",4.65783209351107,5825863.3261813
2035,"FA",4.43615529601595,5851707.7606296
2036,"FA",4.22502860027657,5876431.39327872
2037,"FA",4.02394990301325,5900077.85881377
2038,"FA",3.83244099718054,5922689.55908645
2039,"FA",3.65004643469137,5944307.65099537
2040,"FA",3.47633244326645,5964972.04053529
2041,"FA",3.31088589483349,5984721.38232737
2042,"FA",3.15331332302249,6003593.08399684
2043,"FA",3.00323998742069,6021623.3148149
2044,"FA",2.86030898236188,6038847.01807067
2045,"FA",2.72418038813028,6055297.92668421
2046,"FA",2.59453046256062,6071008.58161488
2047,"FA",2.4710508711118,6086010.352659
2048,"FA",2.35344795358312,6100333.46126895
2049,"FA",2.24144202572914,6114007.00506001
2050,"FA",2.13476671411222,6127058.98370426
2051,"FA",2.03316832261099,6139516.32594069
2052,"FA",1.9364052290781,6151404.91745825
2053,"FA",1.84424731071242,6162749.62943438
2054,"FA",1.75647539677905,6173574.34753499
2055,"FA",1.67288074737566,6183902.00120348
2056,"FA",1.59326455700545,6193754.59308599
2057,"FA",1.51743748177629,6203153.22845846
2058,"FA",1.4452191891015,6212118.14453717
2059,"FA",1.37643792883133,6220668.73956969
2060,"FA",1.31093012479538,6228823.60161676
2061,"FA",1.24853998578428,6236600.53694778
2062,"FA",1.18911913504583,6244016.5979839
2063,"FA",1.13252625741412,6251088.11073285
2064,"FA",1.0786267632326,6257830.70166841
2065,"FA",1.02729246827186,6264259.32401595
2066,"FA",0.978401288880783,6270388.28341245
2067,"FA",0.931836951646226,6276231.26291611
2068,"FA",0.887488716870583,6281801.34734641
2069,"FA",0.845251115209722,6287111.04694078
2070,"FA",0.805023696844877,6292172.32031827
2071,"FA",0.766710792592088,6296996.5967451
2072,"FA",0.730221286380918,6301594.79770032
2073,"FA",0.695468398561454,6305977.35774266
2074,"FA",0.662369479524222,6310154.24468299
2075,"FA",0.630845813142174,6314134.97906853
2076,"FA",0.60082242956736,6317928.65298727
2077,"FA",0.572227926936988,6321543.94820291
2078,"FA",0.544994301564927,6324989.15363177
2079,"FA",0.519056786214747,6328272.1821747
2080,"FA",0.494353696069765,6331400.58691769
2081,"FA",0.470826282033675,6334381.5767161
2082,"FA",0.448418591012961,6337222.03117767
2083,"FA",0.427077332848783,6339928.51506041
2084,"FA",0.40675175358186,6342507.2921015
2085,"FA",0.387393514749,6344964.33829371
2086,"FA",0.368956578424143,6347305.35462619
2087,"FA",0.351397097730589,6349535.77930621
2088,"FA",0.334673312563987,6351660.79947871
2089,"FA",0.318745450278091,6353685.36246026
2090,"FA",0.303575631097142,6355614.18650396
2091,"FA",0.289127778029847,6357451.77111172
2092,"FA",0.275367531070792,6359202.40690983
2093,"FA",0.262262165485169,6360870.18510382
2094,"FA",0.249780513982556,6362459.00652804
2095,"FA",0.237892892594599,6363972.59030511
2096,"FA",0.226571030080343,6365414.4821303
2097,"FA",0.215788000691339,6366788.06219497
2098,"FA",0.205518160136594,6368096.55276349
2099,"FA",0.195737084595113,6369343.02541715
2100,"FA",0.186421512630953,6370530.40797842
